"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Regression Tests","0","Products","1","0","Add review on product","0"
"0","Regression Tests","0","Search","1","0","Search Product","0"
"0","Regression Tests","0","User","1","0","Register User","0"
"0","Regression Tests","0","Cart","1","0","Checkout requires authentication","0"
"0","Regression Tests","0","Search","1","0","Search with no matching results","0"
"0","Regression Tests","0","Verify","1","0","Verify All Products and product detail page","0"
"0","Regression Tests","0","Contact Us","1","0","Submit Contact Us form with empty required fields","0"
"0","Regression Tests","0","User","1","0","Register with invalid email format","0"
"0","Regression Tests","0","Cart","1","0","Boundary value: zero quantity","0"
"0","Regression Tests","0","Cart","1","0","Add Products in Cart","0"
"0","Regression Tests","0","User","1","0","Login with empty password","0"
"0","Regression Tests","0","Subscription","1","0","Subscribe with invalid email format","0"
"0","Regression Tests","0","User","1","0","Login User with correct email and password","0"
"0","Regression Tests","0","Products","1","0","View & Cart Brand Products","0"
"0","Regression Tests","0","Products","1","0","View Category Products","0"
"0","Regression Tests","0","User","1","0","Logout User","0"
"0","Regression Tests","0","Cart","1","0","Boundary value: negative quantity","0"
"0","Regression Tests","0","Cart","1","0","Verify Product quantity in Cart","0"
"0","Regression Tests","0","User","1","0","Register User with existing email","0"
"0","Regression Tests","0","User","1","0","Login with empty credentials","0"
"0","Regression Tests","0","User","1","0","Login User with incorrect email and password","0"
